"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7";"C_0805_2012Metric";1;"C_0805_1uf";;;
2;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"R14,R13,R7,R11,R12";"R_0805_2012Metric";5;"R_0805_10K";;;
4;"SW4,SW1,SW3,SW2,SW5";"SW_SPST_Omron_B3FS-100xP";5;"Omron_B3F_SPST";;;
5;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
6;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
7;"TP14,TP9,TP11,TP15,TP5,TP1,TP12,TP8,TP7,TP16,TP2,TP10,TP6,TP3";"TestPoint_THTPad_D2.0mm_Drill1.0mm";14;"TestPoint";;;
8;"U1";"TO-252-2";1;"L7805";;;
9;"R1,R2";"R_0805_2012Metric";2;"R_0805_47";;;
10;"C1,C5,C3,C4";"C_0805_2012Metric";4;"C_0805_0.1uf";;;
11;"C6,C2";"C_0805_2012Metric";2;"C_0805_22pf";;;
12;"Q1";"SOT-23";1;"NPN_2N3904_SOT23";;;
13;"R3,R4";"R_0805_2012Metric";2;"R_0805_4.7K";;;
14;"R9";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
15;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
16;"R5,R8";"R_0805_2012Metric";2;"R_0805_1K";;;
17;"R6";"R_0805_2012Metric";1;"R_0805_2.2K";;;
18;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
19;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
20;"R10";"R_0805_2012Metric";1;"R_0805_100K";;;
21;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
22;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
23;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
24;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
25;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
26;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
27;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
