Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-2.618768,3.673000,0.000000,bottom
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",-4.191276,2.763433,180.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-2.301512,0.586000,0.000000,bottom
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",-1.277890,3.826425,-90.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",3.049543,1.897291,0.000000,top
"C2","C_0805_22pf","C_0805_2012Metric",2.419622,1.936661,-90.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",2.053000,1.326000,-90.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",1.986551,0.873669,0.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",2.191000,1.333535,-90.000000,top
"C6","C_0805_22pf","C_0805_2012Metric",1.710961,1.976031,-90.000000,top
"C7","C_0805_1uf","C_0805_2012Metric",1.989000,0.523000,90.000000,top
"D1","LED_0805","LED_0805_2012Metric",1.765000,1.330000,90.000000,top
"DS1","TC1602A-01T","TC1602A-01T",1.047157,3.439626,0.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",2.602693,2.015402,90.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",3.235567,1.642370,0.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",3.994425,2.330362,90.000000,top
"R1","R_0805_47","R_0805_2012Metric",2.892063,1.897291,0.000000,top
"R2","R_0805_47","R_0805_2012Metric",2.734583,1.897291,0.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",3.049543,1.346110,90.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",2.892063,1.346110,-90.000000,top
"R5","R_0805_1K","R_0805_2012Metric",4.191276,2.448472,0.000000,top
"R6","R_0805_2.2K","R_0805_2012Metric",1.909000,1.331000,90.000000,top
"R7","R_0805_10K","R_0805_2012Metric",3.521984,1.661071,90.000000,top
"R8","R_0805_1K","R_0805_2012Metric",3.718835,2.015402,0.000000,top
"R9","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",2.361945,4.073000,180.000000,top
"R10","R_0805_100K","R_0805_2012Metric",2.773953,1.346110,-90.000000,top
"R11","R_0805_10K","R_0805_2012Metric",1.398000,1.484000,90.000000,top
"R12","R_0805_10K","R_0805_2012Metric",2.406000,1.358000,90.000000,top
"R13","R_0805_10K","R_0805_2012Metric",1.524000,1.334000,90.000000,top
"R14","R_0805_10K","R_0805_2012Metric",2.596000,1.346110,90.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.403874,1.897291,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.701327,1.661000,180.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.718835,1.306740,180.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.970000,1.188630,180.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.915685,1.700441,180.000000,top
"U1","L7805","TO-252-2",1.632220,0.637449,180.000000,top
"U2","ATmega328-PU","DIP-28_W7.62mm",2.990488,1.810677,-90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",1.679465,3.936661,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.104661,1.976031,0.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.553480,3.895323,90.000000,top
